Time,G,GG,GGG,GGGG,G5
0,0.08741263,1.76E-05,1.59E-05,6.37E-06,0
1,0.078810688,0.011930837,0.000662594,0.000194982,1.97E-05
2,0.086407783,0.006056151,0.000424841,8.27E-05,1.18E-05
3,0.086488961,0.005042394,0.000327944,5.64E-05,7.12E-06
4,0.086619814,0.004965431,0.000309307,5.91E-05,6.56E-06
5,0.085452934,0.004937194,0.000301184,4.48E-05,0
6,0.086373693,0.005088128,0.000300302,3.60E-05,3.63E-06
7,0.087511098,0.00501856,0.000302025,4.44E-05,5.54E-06
