Time,G,GG,GGG,GGGG,G5
0,0.001220591,2.12843E-06,8.72222E-06,1.03251E-06,0
1,0.000853853,0.000414864,1.3033E-05,2.10544E-05,1.68E-06
2,0.001904813,0.000303662,3.21884E-05,9.28771E-06,3.61E-06
3,0.001614985,0.00028507,1.47186E-05,8.97E-06,4.83E-07
4,0.000629131,2.85973E-05,6.19735E-06,3.32127E-06,9.05E-07
5,0.001401885,0.000100436,6.80227E-06,1.54847E-05,1.03E-06
6,0.000908665,0.000244668,1.55696E-05,3.41657E-07,8.90E-07
7,0.000845651,0.000187815,1.42544E-05,3.17474E-06,5.47E-07
