Time,G,GG,GGG,GGGG,G5
0,0.001220591,2.13E-06,8.72E-06,1.03E-06,0
1,0.000573348,2.21E-04,1.60E-05,1.21E-05,4.6997E-07
2,0.005258782,8.26E-04,4.67E-05,7.64E-05,1.52919E-06
3,0.000525878,8.26E-05,4.67E-06,7.64E-06,1.52919E-07
4,0.00456752,7.14E-04,4.82E-05,7.73E-06,3.03162E-06
5,0.000456752,7.14E-05,4.82E-06,7.73E-07,3.03162E-07
6,0.001284646,1.47E-04,8.67E-06,1.86E-05,1.29161E-07
7,0.000128465,1.47E-05,8.67E-07,1.86E-06,1.29161E-08
