Time,G,GG,GGG,GGGG,G5
0,0.08741263,1.75916E-05,1.58725E-05,6.36614E-06,0
1,0.074604594,0.012128533,0.000692699,0.000304349,2.90E-05
2,0.084097202,0.006518705,0.000507324,0.000157836,1.89E-05
3,0.087206564,0.004976185,0.000384521,8.81E-05,1.32E-05
4,0.087096332,0.003985413,0.000302076,5.27209E-05,8.57E-06
5,0.086223575,0.003582244,0.000256869,5.09593E-05,8.83E-06
6,0.085681981,0.003509194,0.000246955,4.07119E-05,9.07E-06
7,0.084144205,0.003200836,0.000220372,3.11922E-05,7.07E-06
