Time,G,GG,GGG,GGGG,G5
0,0.097338333,7.76E-06,0,1.88E-05,0
1,0.076684538,0.007694623,0.000547515,0.000312015,1.43E-05
2,0.07349068,0.0129133,0.001087646,0.001127753,7.57E-05
3,0.047214899,0.011589725,0.000991271,0.001175618,9.26E-05
4,0.048133833,0.011055817,0.000933419,0.001153095,9.02E-05
5,0.051319824,0.011270694,0.0009819,0.001190772,9.50E-05
6,0.045969674,0.01060959,0.000907521,0.001124251,9.29E-05
7,0.054149637,0.011436027,0.001000009,0.001169091,9.20756E-05
