Time,G,GG,GGG,GGGG,G5
0,0.00086847,1.35E-06,0,1.44E-06,0
1,0.012552496,0.000664561,4.92E-05,2.78E-05,2.69E-06
2,0.003819956,0.000603465,4.45E-05,4.57E-05,3.02E-06
3,0.002364823,0.000364858,3.82E-05,3.62E-05,3.65E-06
4,0.001778044,6.74E-05,1.77E-06,1.49E-05,2.48E-06
5,0.002061663,0.000329227,4.45E-05,1.89E-05,2.47E-06
6,0.003421709,0.000261104,1.15E-05,1.99E-05,7.06E-07
7,0.001300864,0.000357676,4.5113E-05,4.82598E-05,5.56223E-06
