Time,G,GG,GGG,GGGG,G5
0,0.001220591,2.13E-06,8.72E-06,1.03E-06,0
1,0.000981969,0.000172227,9.99E-06,6.52E-06,2.90E-07
2,0.000833117,0.000377391,2.08E-05,1.80E-05,1.74E-06
3,0.001429337,0.000117033,8.14E-06,3.52E-06,1.89E-07
4,0.000302677,0.000110681,4.67E-06,1.92E-05,5.27E-07
5,0.001346747,0.00019502,1.14E-05,3.35E-06,0
6,0.000681225,5.82E-05,1.49E-05,9.07E-06,3.17E-06
7,0.001712161,0.000148747,6.46E-06,4.16E-06,1.20E-07
