Time,G,GG,GGG,GGGG,G5
0,0.08741263,1.76E-05,1.59E-05,6.37E-06,0
1,0.082267402,0.011364849,0.000649195,0.000169834,1.75E-05
2,0.083335889,0.008027858,0.000479926,0.000139202,1.21E-05
3,0.084219107,0.007628427,0.000447761,8.60E-05,9.23E-06
4,0.084693752,0.008990711,0.000519583,0.000151729,1.34E-05
5,0.083559068,0.009065828,0.000522547,0.000124918,1.33E-05
6,0.084739603,0.008950165,0.000528753,0.000122905,1.34E-05
7,0.078408099,0.008421147,0.000535117,0.000119717,1.30E-05
