Treatments,Time,G,GG,GGG,GGGG
Gly24_After4hours,0,0.075913096,0.010591882,1.98E-04,8.44E-06
Gly24_After4hours,1,0.077074194,0.01086829,3.19E-04,3.18E-05
Gly24_After4hours,2,0.07836563,0.009831725,5.19E-04,1.10E-04
Gly24_After4hours,4,0.077844394,0.009367056,0.000621025,2.09E-04
Gly24_After4hours,8,0.078948217,0.010013632,0.000636871,2.36E-04
Gly24_After4hours,10,0.07614176,0.009335125,0.000603566,2.38E-04
Gly24_After4hours,12,0.074003957,0.009352161,0.000618976,2.45E-04
Gly24_After4hours,14,0.074713239,0.009571475,0.000648899,2.79E-04
Gly24_After4hours,16,0.071929805,0.009883737,0.000686775,3.52E-04
Gly24_After4hours,18,0.07461596,0.009480284,0.000748517,3.25E-04
Gly24_After4hours,20,0.077167077,0.009480284,0.000748517,0.000325277
Gly24_NoBase,0,0.111235071,0.000188102,1.96E-06,6.39E-06
Gly24_NoBase,1,0.111138634,0.000797834,1.93E-05,1.23E-05
Gly24_NoBase,2,0.11277168,0.001834143,9.59E-05,2.25E-05
Gly24_NoBase,4,0.10959115,0.001668918,0.000131601,3.35E-05
Gly24_NoBase,6,0.085070595,0.001814115,0.00015381,1.86E-05
Gly24_NoBase,8,0.085573033,0.001684197,0.000145273,1.73E-05
Gly24_NoBase,10,0.083612453,0.001846713,0.000182314,2.47E-05
Gly24_NoBase,12,0.105843364,0.001729953,0.000202001,4.40E-05
Gly24_NoBase,16,0.101900329,0.001865767,0.00024518,5.70E-05
Gly24_NoBase,20,0.107788059,0.001539602,0.00019582,4.31E-05
GlyIter_1d,0,0.05813545,0.012286158,0.000584639,0.000259745
GlyIter_1d,2,0.053616451,0.011096836,0.000729489,0.000390277
GlyIter_1d,4,0.054669635,0.010807952,0.000682892,0.000484017
GlyIter_1d,12,0.058691337,0.010519458,0.00073832,0.000655084
GlyIter_1d,20,0.058532533,0.00970198,0.000798616,0.000702117
MixedDrying_0cycles,2,0.082600033,0.013611306,4.05E-04,1.00E-04
MixedDrying_0cycles,20,0.08346287,0.012977844,7.10E-04,3.08E-04
MixedDrying_0cycles,44,0.081314392,0.009522217,0.001033182,3.40E-04
MixedDrying_0cycles,68,0.078912852,0.009320451,0.000983162,0.000406071
